pid,pnombre,precio,pdescripcion,ptipo
267,pollo,6605,carne,comestible
357,mouse,14549,producto tecnologico,no comestible
295,manzana,11013,frutas,comestible
158,hamburguesa de pollo,10287,hamburguesa,comestible
379,hamburguesa de vacuno,11754,hamburguesa,comestible
382,kiwi,10967,frutas,comestible
367,teclado,7331,producto tecnologico,no comestible
327,hallulla,6887,pan,comestible
83, frutillas en conserva,12139,fruta en conserva,comestible
412,marraqueta,14464,pan,comestible
384,pantalla lineas,13539,pantalla de luz,no comestible
394,limon,5808,verduras,comestible
150,salmon,6044,pescado congelado,comestible
331,lenguado,6376,pescado congelado,comestible
191,marraqueta,6589,pan,comestible
151,cerdo congelado,13962,carne congelada,comestible
284,marraqueta,14433,pan,comestible
13,esparragos frasco,14537,verdura en conserva,comestible
257,pantalon,12445,ropa,no comestible
41,hamburguesa de verduras,13789,hamburguesa,comestible
40,pantalla lisa,11843,pantalla de luz,no comestible
75,lechuga,7914,verduras,comestible
32,pantalla para colgar,6200,pantalla de luz,no comestible
104,chaqueta,9435,ropa,no comestible
313,platano,12727,frutas,comestible
171,mix de frutas en conserva,8658,fruta en conserva,comestible
399,mouse,14474,producto tecnologico,no comestible
401,arvejas congeladas,14782,verduras congeladas,comestible
400,mix de verduras congeladas,13648,verduras congeladas,comestible
368,limon,12932,verduras,comestible
167,hamburguesa de vacuno,9224,hamburguesa,comestible
389,manzana,7436,frutas,comestible
341,pollo congelado,10534,carne congelada,comestible
352,mix de frutas en conserva,14348,fruta en conserva,comestible
30,vacuno,8973,carne,comestible
356,kiwi,14585,frutas,comestible
128,pavo,9003,carne,comestible
378,televisor,10657,producto tecnologico,no comestible
57,cerdo,7160,carne,comestible
110,pantalla papel,9914,pantalla de luz,no comestible
63,arvejas congeladas,14607,verduras congeladas,comestible
9,hamburguesa de verduras,11678,hamburguesa,comestible
163,carne molida,7134,carne congelada,comestible
369,tomate,13568,verduras,comestible
61,vacuno,5898,carne,comestible
39,merlusa,10053,pescado congelado,comestible
381,pantalla para colgar,8882,pantalla de luz,no comestible
220,manzana,11649,frutas,comestible
256,porotos congelados,14619,verduras congeladas,comestible
92,garbanzos en conserva,11554,verdura en conserva,comestible
302,teclado,8227,producto tecnologico,no comestible
275,pantalla lisa,13875,pantalla de luz,no comestible
116,cerdo congelado,11027,carne congelada,comestible
376,arvejas en conserva,14460,verdura en conserva,comestible
37,cerdo,13208,carne,comestible
370,pera,14775,frutas,comestible
122,porotos congelados,11540,verduras congeladas,comestible
219,papaya en conserva,13561,fruta en conserva,comestible
28,cerdo,12064,carne,comestible
135,arvejas congeladas,9491,verduras congeladas,comestible
182,manzana,14158,frutas,comestible
