tid,tnombre,did,nid
33,Almacen Fluido,208,81
76,Almacen Colmena,539,363
50,Fuera del cofre,257,415
57,Luz Almacen,969,447
24,Almacen Centrales,283,466
66,Almacen Estilo,1055,332
86,Almacen Intensas,400,455
48,Almacen Petalos,291,430
71,Couture Almacen,158,337
65,El cofre del tesoro,1088,357
31,Almacen Colmena,372,376
36,Almacen Cuspides,74,339
100,Casa Antigua,170,372
73,Almacen Fluido,100,467
94,Steak Almacen,858,341
70,Almacen Intensas,962,457
18,Steak Almacen,615,463
41,Oda Almacen,212,402
32,Paw Almacen,777,201
23,Almacen Almeja,957,394
43,Propiedades Almacen,876,461
19,Buqui Almacen,324,395
12,Almendras Almacen,99,438
90,Almacen Receta,294,300
53,Almacen Intensas,90,412
45,Familiares Almacen,532,446
80,Antique Me,393,305
72,Algortimos Almacen,156,417
11,Steak Almacen,1053,456
64,Almacen Camino,52,360
28,Almacen Madera,1094,460
20,Familiares Almacen,523,132
77,Familiares Almacen,309,454
15,Algortimos Almacen,582,462
87,Buqui Almacen,594,389
27,Almacen Incidente,841,315
89,Fuera del atico,182,388
62,Oda Almacen,773,464
21,Almacen Afinidad,823,222
35,Almacen Cuspides,567,424
25,Steak Almacen,272,439
55,Almacen Camino,1068,427
69,Almacen Recreativas,93,338
26,Almacen Centrales,404,468
1,Tesoros el dia 42,1049,443
40,Inversiones Almacen,430,399
88,Backup Almacen,1064,469
63,Almacen Caninos,285,396
97,Luz Almacen,225,147
101,Almacen Fluido,194,308
92,Almacen Caninos,657,349
44,exito Almacen,59,433
7,Couture Almacen,150,368
78,Lacio Almacen,172,307
3,Almendras Almacen,102,411
37,Sustentables Almacen,835,334
74,Almacen Hada,1011,373
39,Steak Almacen,1048,354
46,Almacen Fortaleza,528,459
96,Camelias Almacen,892,241
13,Almacen Fluido,387,423
49,Almacen Cables,21,403
59,Almacen Madera,494,400
8,Couture Almacen,122,429
91,Fuera del atico,141,279
98,Almacen Almeja,987,234
68,Almacen Elegante,632,420
93,Almacen Cambio,772,335
75,Almacen Incidente,882,442
6,Almacen Camino,462,440
67,Almacen Incidente,241,285
85,Almacen Almeja,1061,445
14,Calle Antigua,377,450
17,Focus Almacen,679,441
99,El cofre del tesoro,787,295
30,Almacen Autor,819,449
52,Almacen Petalos,618,167
81,Propiedades Almacen,866,361
4,Fuera del atico,429,437
2,Casa Antigua,213,386
51,Oda Almacen,1074,458
82,Quetzal Almacen,950,413
54,Asteroide Cofre,698,374
60,Fantasia Almacen,670,444
42,Almacen Madera,492,304
79,Almacen Ecuacion,542,408
29,Almacen Tulipan,1063,321
58,La Casa de la Abuela Antiguedades,1084,364
95,Almendras Almacen,730,405
56,Algortimos Almacen,1003,435
38,Almacen Ecuacion,701,351
5,La Casa de la Abuela Antiguedades,990,465
22,Almacen Andares,648,428
83,Fuera del atico,613,228
34,Paw Almacen,183,409
0,Almacen Centrales,506,319
16,Fuera del cofre,838,451
61,Pimienta Almacen,145,470
47,Almacen Camino,286,153
9,Almacen Idea,229,414
10,Almacen Caninos,97,391
84,Almacen Hada,711,311
